park_id,park_name,ha,latitude,longitude,st_point,description,nature_count,art_count,urban_count,task_richness_score,category_diversity_score,richness_score_norm,area_score,park_suitability_score,feature_summary
1,Alexandra Gardens,5.7493,-37.82140175342995,144.97338326664902,POINT(144.97338326664902 -37.82140175342995),"Alexandra Gardens is a public park in Melbourne, Melbourne.",3.0,0.0,0.0,3.0,0.333,0.3,0.5749299999999999,0.365,This park contains 3 nature features.
2,Alexandra Park,4.8691,-37.824079314048966,144.9774328963564,POINT(144.9774328963564 -37.824079314048966),"Alexandra Park is a public park in Melbourne, Melbourne.",0.0,1.0,0.0,1.0,0.333,0.1,0.48691000000000006,0.247,This park contains 1 art features.
3,Argyle Square,1.3297,-37.80274045819908,144.96583511130223,POINT(144.96583511130225 -37.802740458199075),"Argyle Square is a public park in Melbourne, Melbourne.",2.0,1.0,0.0,3.0,0.667,0.3,0.13297,0.377,"This park contains 2 nature features, 1 art features."
4,Auckland Lane Reserve,0.0323,-37.77798700546881,144.9389399141761,POINT(144.9389399141761 -37.77798700546881),"Auckland Lane Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.0032300000000000002,0.001,No matched task features in this park yet.
5,Batman Park,1.4328,-37.82178529606905,144.9566130685186,POINT(144.9566130685186 -37.82178529606905),"Batman Park is a public park in Melbourne, Melbourne.",1.0,0.0,0.0,1.0,0.333,0.1,0.14328000000000002,0.179,This park contains 1 nature features.
6,Bayswater Road Park,0.2711,-37.79374099588292,144.9237698641406,POINT(144.9237698641406 -37.79374099588292),"Bayswater Road Park is a public park in Melbourne, Melbourne.",1.0,0.0,0.0,1.0,0.333,0.1,0.027110000000000002,0.155,This park contains 1 nature features.
7,Bedford Street Reserve,0.0997,-37.80281461224497,144.9555073658568,POINT(144.9555073658568 -37.80281461224497),"Bedford Street Reserve is a public park in Melbourne, Melbourne.",1.0,0.0,0.0,1.0,0.333,0.1,0.00997,0.152,This park contains 1 nature features.
8,Birrarung Marr,8.1119,-37.81890622464687,144.9738236456279,POINT(144.9738236456279 -37.81890622464687),"Birrarung Marr is a public park in Melbourne, Melbourne.",4.0,6.0,0.0,10.0,0.667,1.0,0.8111900000000001,0.862,"This park contains 4 nature features, 6 art features."
9,Buluk Park,0.3797,-37.82039079299272,144.94071832919877,POINT(144.94071832919875 -37.82039079299272),"Buluk Park is a public park in Melbourne, Melbourne.",3.0,0.0,0.0,3.0,0.333,0.3,0.03797,0.257,This park contains 3 nature features.
10,Burston Reserve,0.1894,-37.81142044443343,144.97522970425274,POINT(144.97522970425274 -37.81142044443343),"Burston Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.018940000000000002,0.004,No matched task features in this park yet.
11,Canning & Neill Street Reserve,0.1897,-37.79314944767447,144.97410414772014,POINT(144.97410414772014 -37.79314944767447),"Canning & Neill Street Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.01897,0.004,No matched task features in this park yet.
12,Canning & Palmerston Street Reserve,0.0405,-37.79631051100726,144.9728447048824,POINT(144.9728447048824 -37.79631051100726),"Canning & Palmerston Street Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00405,0.001,No matched task features in this park yet.
13,Canning Street & Macaulay Road Reserve,0.1764,-37.79579442506432,144.93976667764875,POINT(144.93976667764875 -37.795794425064315),"Canning Street & Macaulay Road Reserve is a public park in Melbourne, Melbourne.",1.0,0.0,0.0,1.0,0.333,0.1,0.01764,0.153,This park contains 1 nature features.
14,Carlton Gardens North,7.1167,-37.80196385653347,144.97195227866774,POINT(144.97195227866774 -37.80196385653347),"Carlton Gardens North is a public park in Melbourne, Melbourne.",13.0,0.0,0.0,13.0,0.333,1.0,0.71167,0.742,This park contains 13 nature features.
15,Carlton Gardens South,8.8109,-37.80629946165889,144.97123206483835,POINT(144.97123206483835 -37.80629946165889),"Carlton Gardens South is a public park in Melbourne, Melbourne.",10.0,2.0,0.0,12.0,0.667,1.0,0.88109,0.876,"This park contains 10 nature features, 2 art features."
16,Carrangall Place Reserve,0.0405,-37.7798323440471,144.94124178055557,POINT(144.94124178055557 -37.7798323440471),"Carrangall Place Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00405,0.001,No matched task features in this park yet.
17,Chapman Street Reserve,0.1437,-37.798205012027765,144.95058555916913,POINT(144.95058555916913 -37.798205012027765),"Chapman Street Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.014369999999999999,0.003,No matched task features in this park yet.
18,Childrens Garden Area,0.4407,-37.8303954534704,144.97646065429277,POINT(144.97646065429277 -37.8303954534704),"Childrens Garden Area is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.04407,0.009,No matched task features in this park yet.
19,City Road Park,0.0275,-37.825413565250585,144.96037071212012,POINT(144.96037071212012 -37.825413565250585),"City Road Park is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00275,0.001,No matched task features in this park yet.
20,City Square,0.3003,-37.815934544174816,144.96710537124827,POINT(144.96710537124827 -37.815934544174816),"City Square is a public park in Melbourne, Melbourne.",0.0,2.0,0.0,2.0,0.333,0.2,0.03003,0.206,This park contains 2 art features.
21,Clayton Reserve,0.6514,-37.79636038764831,144.9391173758192,POINT(144.9391173758192 -37.79636038764831),"Clayton Reserve is a public park in Melbourne, Melbourne.",0.0,1.0,0.0,1.0,0.333,0.1,0.06514,0.163,This park contains 1 art features.
22,Cook Street Reserve,0.0476,-37.82219999184765,144.96444126239587,POINT(144.96444126239587 -37.82219999184765),"Cook Street Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00476,0.001,No matched task features in this park yet.
23,Courtney Street Reserve,0.0456,-37.803529002556566,144.95587275751444,POINT(144.95587275751444 -37.803529002556566),"Courtney Street Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00456,0.001,No matched task features in this park yet.
24,Curzon Street Reserve,0.0252,-37.79860394137543,144.94918789092188,POINT(144.94918789092188 -37.798603941375426),"Curzon Street Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00252,0.001,No matched task features in this park yet.
25,Customs Square,0.1258,-37.81982116296166,144.96073989376808,POINT(144.96073989376808 -37.81982116296166),"Customs Square is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.01258,0.003,No matched task features in this park yet.
26,Darling Square,0.8191,-37.8128257285346,144.98909104709094,POINT(144.98909104709094 -37.8128257285346),"Darling Square is a public park in Melbourne, Melbourne.",1.0,0.0,0.0,1.0,0.333,0.1,0.08191000000000001,0.166,This park contains 1 nature features.
27,Docklands Park,2.2288,-37.82080097716886,144.9467115304261,POINT(144.9467115304261 -37.82080097716886),"Docklands Park is a public park in Melbourne, Melbourne.",4.0,2.0,0.0,6.0,0.667,0.6,0.22288000000000002,0.545,"This park contains 4 nature features, 2 art features."
28,Dynon Road Nature Reserve,0.0082,-37.80158951646487,144.91368302408446,POINT(144.91368302408446 -37.801589516464865),"Dynon Road Nature Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.0008200000000000001,0.0,No matched task features in this park yet.
29,Eades Park,0.7108,-37.80723061432889,144.95147882918252,POINT(144.95147882918252 -37.80723061432889),"Eades Park is a public park in Melbourne, Melbourne.",1.0,0.0,0.0,1.0,0.333,0.1,0.07108,0.164,This park contains 1 nature features.
30,Eight Hour Reserve,0.1406,-37.80730644775974,144.9655234292752,POINT(144.9655234292752 -37.80730644775974),"Eight Hour Reserve is a public park in Melbourne, Melbourne.",0.0,1.0,0.0,1.0,0.333,0.1,0.01406,0.153,This park contains 1 art features.
31,Enterprize Park,0.9008,-37.82031035351093,144.95944133760204,POINT(144.95944133760204 -37.82031035351093),"Enterprize Park is a public park in Melbourne, Melbourne.",1.0,2.0,0.0,3.0,0.667,0.3,0.09008000000000001,0.368,"This park contains 1 nature features, 2 art features."
32,Errol Street Reserve,0.4911,-37.79953775378882,144.95044993241362,POINT(144.95044993241362 -37.79953775378882),"Errol Street Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.04911,0.01,No matched task features in this park yet.
33,Eureka Reserve,0.0455,-37.82135319653195,144.9648893380308,POINT(144.9648893380308 -37.82135319653195),"Eureka Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00455,0.001,No matched task features in this park yet.
34,Exhibition Street Reserve,0.0252,-37.80750172286748,144.9685926811436,POINT(144.9685926811436 -37.80750172286748),"Exhibition Street Reserve is a public park in Melbourne, Melbourne.",0.0,1.0,0.0,1.0,0.333,0.1,0.00252,0.15,This park contains 1 art features.
35,Fawkner Park,41.1885,-37.84103061438385,144.98174178026838,POINT(144.98174178026838 -37.84103061438385),"Fawkner Park is a public park in Melbourne, Melbourne.",21.0,0.0,0.0,21.0,0.333,1.0,1.0,0.8,This park contains 21 nature features.
36,Fitzroy Gardens,26.2848,-37.81296164888416,144.98045579973143,POINT(144.98045579973143 -37.81296164888416),"Fitzroy Gardens is a public park in Melbourne, Melbourne.",13.0,18.0,1.0,32.0,1.0,1.0,1.0,1.0,"This park contains 13 nature features, 18 art features, 1 urban discovery features."
37,Flagstaff Gardens,7.3521,-37.81045611438672,144.95443421269437,POINT(144.95443421269437 -37.81045611438672),"Flagstaff Gardens is a public park in Melbourne, Melbourne.",17.0,4.0,0.0,21.0,0.667,1.0,0.73521,0.847,"This park contains 17 nature features, 4 art features."
38,Flinders & Spencer Street Reserve,0.0464,-37.82091122130184,144.95468046329796,POINT(144.95468046329796 -37.820911221301834),"Flinders & Spencer Street Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00464,0.001,No matched task features in this park yet.
39,Galada Avenue Reserve,1.333,-37.780026876933206,144.9401384374531,POINT(144.9401384374531 -37.780026876933206),"Galada Avenue Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.1333,0.027,No matched task features in this park yet.
40,Gardiner Reserve,0.5287999999999999,-37.79911492064341,144.94373392032597,POINT(144.94373392032597 -37.79911492064341),"Gardiner Reserve is a public park in Melbourne, Melbourne.",2.0,0.0,0.0,2.0,0.333,0.2,0.052879999999999996,0.21,This park contains 2 nature features.
41,Garrard St Reserve,0.1159,-37.779227177570114,144.9419885988235,POINT(144.9419885988235 -37.779227177570114),"Garrard St Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.01159,0.002,No matched task features in this park yet.
42,Gillott Reserve/Tianjin Gardens,0.1652,-37.80979527931674,144.97250183418475,POINT(144.97250183418475 -37.80979527931674),"Gillott Reserve/Tianjin Gardens is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.01652,0.003,No matched task features in this park yet.
43,Golden Elm Reserve,0.0756,-37.83069805971408,144.9875326894813,POINT(144.9875326894813 -37.83069805971408),"Golden Elm Reserve is a public park in Melbourne, Melbourne.",1.0,0.0,0.0,1.0,0.333,0.1,0.00756,0.151,This park contains 1 nature features.
44,Gordon Reserve,0.3776,-37.81230515005907,144.9740235456232,POINT(144.9740235456232 -37.81230515005907),"Gordon Reserve is a public park in Melbourne, Melbourne.",0.0,3.0,0.0,3.0,0.333,0.3,0.03776,0.257,This park contains 3 art features.
45,Goschs Paddock,0.4149,-37.82803187471889,144.98778107775814,POINT(144.98778107775814 -37.82803187471889),"Goschs Paddock is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.04149,0.008,No matched task features in this park yet.
46,Grant Street Playground Reserve,0.0027,-37.825987222895535,144.96838210272202,POINT(144.96838210272202 -37.825987222895535),"Grant Street Playground Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00027,0.0,No matched task features in this park yet.
47,Grant Street Reserve,0.254,-37.82589054117261,144.96858343929145,POINT(144.96858343929145 -37.82589054117261),"Grant Street Reserve is a public park in Melbourne, Melbourne.",7.0,0.0,0.0,7.0,0.333,0.7,0.0254,0.455,This park contains 7 nature features.
48,Hardy Reserve,0.9723,-37.78539834688024,144.96646306665653,POINT(144.96646306665653 -37.78539834688024),"Hardy Reserve is a public park in Melbourne, Melbourne.",0.0,1.0,0.0,1.0,0.333,0.1,0.09723000000000001,0.169,This park contains 1 art features.
49,Hawke & Adderley Street Park,0.0812,-37.80864899566088,144.94487688627024,POINT(144.94487688627024 -37.80864899566088),"Hawke & Adderley Street Park is a public park in Melbourne, Melbourne.",1.0,0.0,0.0,1.0,0.333,0.1,0.008119999999999999,0.152,This park contains 1 nature features.
50,Hawke & Curzon Street Reserve,0.1274,-37.80607888722599,144.94768448942233,POINT(144.94768448942233 -37.806078887225986),"Hawke & Curzon Street Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.012740000000000001,0.003,No matched task features in this park yet.
51,Hawke & King Street Reserve,0.0573,-37.80545871327271,144.9490907138995,POINT(144.94909071389947 -37.80545871327271),"Hawke & King Street Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00573,0.001,No matched task features in this park yet.
52,Howard & William Street Reserve,0.1848,-37.80644297476642,144.9536077648639,POINT(144.9536077648639 -37.80644297476642),"Howard & William Street Reserve is a public park in Melbourne, Melbourne.",3.0,0.0,0.0,3.0,0.333,0.3,0.01848,0.254,This park contains 3 nature features.
53,Ievers Reserve,1.3659,-37.79596002174714,144.95316601448351,POINT(144.95316601448351 -37.79596002174714),"Ievers Reserve is a public park in Melbourne, Melbourne.",2.0,0.0,0.0,2.0,0.333,0.2,0.13659,0.227,This park contains 2 nature features.
54,J J Holland Park,1.2166,-37.79707476394773,144.92438602686423,POINT(144.92438602686423 -37.797074763947734),"J J Holland Park is a public park in Melbourne, Melbourne.",0.0,1.0,0.0,1.0,0.333,0.1,0.12165999999999999,0.174,This park contains 1 art features.
55,Jolimont Reserve,0.8801,-37.81640436890003,144.9807712969875,POINT(144.9807712969875 -37.81640436890003),"Jolimont Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.08801,0.018,No matched task features in this park yet.
56,Kensington Banks Small Reserves,2.0101,-37.79427780034455,144.9214818692829,POINT(144.9214818692829 -37.794277800344545),"Kensington Banks Small Reserves is a public park in Melbourne, Melbourne.",4.0,0.0,0.0,4.0,0.333,0.4,0.20101,0.34,This park contains 4 nature features.
57,Kensington Community Gardens,0.1458,-37.7937178820449,144.9206172099037,POINT(144.9206172099037 -37.7937178820449),"Kensington Community Gardens is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.014580000000000001,0.003,No matched task features in this park yet.
58,Kensington Hall Reserve,0.2754,-37.788573391106304,144.92855730197022,POINT(144.92855730197022 -37.788573391106304),"Kensington Hall Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.02754,0.006,No matched task features in this park yet.
59,Kensington Hall Reserve Parklands,0.2204,-37.78905734947679,144.92840535320124,POINT(144.92840535320124 -37.78905734947679),"Kensington Hall Reserve Parklands is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.02204,0.004,No matched task features in this park yet.
60,King & Victoria Street Reserve,0.0472,-37.80518658385143,144.9486282062408,POINT(144.9486282062408 -37.80518658385143),"King & Victoria Street Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00472,0.001,No matched task features in this park yet.
61,Kings Domain South,8.614900000000002,-37.83235104377268,144.978420348584,POINT(144.978420348584 -37.832351043772675),"Kings Domain South is a public park in Melbourne, Melbourne.",9.0,0.0,0.0,9.0,0.333,0.9,0.8614900000000002,0.722,This park contains 9 nature features.
62,Kings Domain South (Latrobe Cottage and Herring Oval),4.0339,-37.83179958424393,144.9755453802536,POINT(144.9755453802536 -37.83179958424393),"Kings Domain South (Latrobe Cottage and Herring Oval) is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.40339,0.081,No matched task features in this park yet.
63,Kings Domain South (Monash and Malta Monuments),2.2175,-37.82836776871248,144.97402636241267,POINT(144.97402636241267 -37.828367768712475),"Kings Domain South (Monash and Malta Monuments) is a public park in Melbourne, Melbourne.",0.0,3.0,0.0,3.0,0.333,0.3,0.22174999999999997,0.294,This park contains 3 art features.
64,La Trobe Cottage & Gardens,0.1079,-37.83025929800534,144.97638067070284,POINT(144.97638067070284 -37.83025929800534),"La Trobe Cottage & Gardens is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.01079,0.002,No matched task features in this park yet.
65,Leveson Street Reserve,0.1067999999999999,-37.80056827479672,144.95164467354908,POINT(144.95164467354908 -37.80056827479672),"Leveson Street Reserve is a public park in Melbourne, Melbourne.",1.0,0.0,0.0,1.0,0.333,0.1,0.01067999999999999,0.152,This park contains 1 nature features.
66,Liddy Street Reserve,0.1229,-37.78999131490741,144.92560479542126,POINT(144.92560479542126 -37.78999131490741),"Liddy Street Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.012289999999999999,0.002,No matched task features in this park yet.
67,Lincoln Square,1.3262,-37.80241987242336,144.96288072706884,POINT(144.96288072706884 -37.802419872423364),"Lincoln Square is a public park in Melbourne, Melbourne.",2.0,1.0,0.0,3.0,0.667,0.3,0.13262000000000002,0.377,"This park contains 2 nature features, 1 art features."
68,Linlithgow Avenue Reserve (East),0.1284,-37.82192187729057,144.9740564590187,POINT(144.9740564590187 -37.82192187729057),"Linlithgow Avenue Reserve (East) is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.012839999999999999,0.003,No matched task features in this park yet.
